VmName,FolderName
ubuntu-1804-template,NY Site/Templates
UCM-PUB,NY Site/General-NoRep2DR
UTILITY,NY Site/General-NoRep2DR
vapp-prod-02-ue-1,NY Site/Prod-Infra
VCS-C,NY Site/Other-NoRep2DR
VEEAM-PROXY1,NY Site/Prod-Infra
VEEAM-PROXY2,NY Site/Prod-Infra
VEEAM-PROXY3,NY Site/Prod-Infra
VEEAM-PROXY4,NY Site/Prod-Infra
VEEAM-SVR,NY Site/Prod-Infra
VMware vCenter Server Appliance,NY Site/Prod-Infra
WIN7-WS,NY Site/Templates
Win7x64,NY Site/Templates
Win7x64-Apps-Sysprep,NY Site/Templates
Win7x64-Apps-Sysprep,NY Site/Templates
Win7x64-Sysprep,NY Site/Templates
WinSrv2012DcR2x64,NY Site/Templates
WinSrv2016DCx64,NY Site/Templates
